thickness.left.caudal.anterior.cingulate
thickness.left.caudal.middle.frontal
thickness.left.cuneus
thickness.left.entorhinal
thickness.left.fusiform
thickness.left.inferior.parietal
thickness.left.inferior.temporal
thickness.left.isthmus.cingulate
thickness.left.lateral.occipital
thickness.left.lateral.orbitofrontal
thickness.left.lingual
thickness.left.medial.orbitofrontal
thickness.left.middle.temporal
thickness.left.parahippocampal
thickness.left.paracentral
thickness.left.pars.opercularis
thickness.left.pars.orbitalis
thickness.left.pars.triangularis
thickness.left.pericalcarine
thickness.left.postcentral
thickness.left.posterior.cingulate
thickness.left.precentral
thickness.left.precuneus
thickness.left.rostral.anterior.cingulate
thickness.left.rostral.middle.frontal
thickness.left.superior.frontal
thickness.left.superior.parietal
thickness.left.superior.temporal
thickness.left.supramarginal
thickness.left.transverse.temporal
thickness.left.insula
thickness.right.caudal.anterior.cingulate
thickness.right.caudal.middle.frontal
thickness.right.cuneus
thickness.right.entorhinal
thickness.right.fusiform
thickness.right.inferior.parietal
thickness.right.inferior.temporal
thickness.right.isthmus.cingulate
thickness.right.lateral.occipital
thickness.right.lateral.orbitofrontal
thickness.right.lingual
thickness.right.medial.orbitofrontal
thickness.right.middle.temporal
thickness.right.parahippocampal
thickness.right.paracentral
thickness.right.pars.opercularis
thickness.right.pars.orbitalis
thickness.right.pars.triangularis
thickness.right.pericalcarine
thickness.right.postcentral
thickness.right.posterior.cingulate
thickness.right.precentral
thickness.right.precuneus
thickness.right.rostral.anterior.cingulate
thickness.right.rostral.middle.frontal
thickness.right.superior.frontal
thickness.right.superior.parietal
thickness.right.superior.temporal
thickness.right.supramarginal
thickness.right.transverse.temporal
thickness.right.insula
